C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee sf --graphs -m S_M_750_maxreward -d 0.99 -a 0.5 -e 0.002 --maxreward 750
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 1: -68.00000000000038
episode 2: -60.80000000000055
episode 3: -68.56405475153728
episode 4: -63.50000000000053
episode 5: -64.40000000000057
episode 6: -73.39999999999993
episode 7: -59.900000000000524
episode 8: -86.89999999999954
episode 9: -63.50000000000052
episode 10: -59.00000000000051
episode 11: -76.1000000000001
episode 12: -55.40000000000049
episode 13: -63.500000000000554
episode 14: -47.99897864581468
episode 15: -68.00000000000031
episode 16: -75.20000000000016
episode 17: -65.30000000000045
episode 18: -59.00000000000049
episode 19: -61.70000000000052
episode 20: -59.000000000000554
episode 21: -71.60000000000012
episode 22: -75.19999999999978
episode 23: -57.200000000000536
episode 24: -65.30000000000047
episode 25: -59.90000000000051
episode 26: -60.533912348169245
episode 27: -42.77944563405655
episode 28: -59.90000000000051
episode 29: -59.900000000000475
episode 30: -63.50000000000055
episode 31: -69.8000000000002
episode 32: -58.10000000000053
episode 33: -65.3000000000004
episode 34: -66.20000000000037
episode 35: -61.70000000000048
episode 36: -57.20000000000051
episode 37: -60.80000000000049
episode 38: -55.96950830302275
episode 39: -63.50000000000053
episode 40: -64.40000000000047
episode 41: -59.90000000000054
episode 42: -68.90000000000026
episode 43: -60.800000000000516
episode 44: -65.30000000000038
episode 45: -58.10000000000054
episode 46: -66.20000000000041
episode 47: -60.80000000000053
episode 48: -68.0000000000003
episode 49: -66.20000000000043
episode 50: -60.800000000000544
episode 51: -66.20000000000036
episode 52: -57.200000000000514
episode 53: -64.40000000000053
episode 54: -57.200000000000465
episode 55: -61.70000000000054
episode 56: -66.20000000000037
episode 57: -59.000000000000504
episode 58: -66.20000000000041
episode 59: -64.40000000000046
episode 60: -60.80000000000049
episode 61: -62.600000000000556
episode 62: -59.00000000000051
episode 63: -63.50000000000058
episode 64: -59.000000000000476
episode 65: -62.60000000000052
episode 66: -62.60000000000058
episode 67: -60.80000000000054
episode 68: -58.10000000000049
episode 69: -55.40000000000048
episode 70: -67.1000000000004
episode 71: -66.20000000000033
episode 72: -59.900000000000574
episode 73: -57.20000000000051
episode 74: -45.06568961776093
episode 75: -59.000000000000554
episode 76: -57.2000000000005
episode 77: -60.80000000000049
episode 78: -63.50000000000054
episode 79: 1.2609774262779485
episode 80: -68.00000000000026
episode 81: -64.40000000000053
episode 82: -70.70000000000019
episode 83: -68.00000000000031
episode 84: -64.4000000000005
episode 85: -63.5000000000005
episode 86: -66.20000000000043
episode 87: -58.10000000000049
episode 88: -67.10000000000034
episode 89: -76.09999999999988
episode 90: -54.5000000000005
episode 91: -59.90000000000051
episode 92: -59.90000000000048
episode 93: -64.40000000000046
episode 94: -59.00000000000049
episode 95: -65.30000000000047
episode 96: -67.10000000000032
episode 97: -66.20000000000039
episode 98: -60.80000000000055
episode 99: -57.20000000000051
episode 100: -55.400000000000446
episode 101: -60.80000000000053
episode 102: -62.60000000000046
episode 103: -48.68853641088614
episode 104: -53.096192601093556
episode 105: -59.90000000000052
episode 106: -60.80000000000052
episode 107: -62.600000000000485
episode 108: -69.80000000000024
episode 109: -59.900000000000496
episode 110: -60.80000000000051
episode 111: -57.2000000000005
episode 112: -56.30000000000047
episode 113: -60.800000000000566
episode 114: -71.60000000000011
episode 115: -62.60000000000046
episode 116: -77.00000000000001
episode 117: -60.80000000000051
episode 118: -57.20000000000051
episode 119: -54.50000000000048
episode 120: -56.30000000000048
episode 121: -55.98300942600219
episode 122: -51.00244196544814
episode 123: -76.0999999999999
episode 124: -57.200000000000514
episode 125: -56.300000000000495
episode 126: -59.90000000000051
episode 127: -60.800000000000516
