C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee sf --graphs -m S_M_750_maxreward2 -d 0.99 -a 0.5 -e 0.002 --maxreward 750
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 216: -58.10000000000047
episode 217: -59.90000000000049
episode 218: -58.10000000000049
episode 219: -73.39999999999998
episode 220: -65.3000000000005
episode 221: -59.900000000000524
episode 222: -81.4999999999995
episode 223: -55.400000000000496
episode 224: -67.10000000000035
episode 225: -60.800000000000516
episode 226: -52.34542716900978
episode 227: -50.692886872741134
episode 228: -58.100000000000506
episode 229: -59.000000000000504
episode 230: -56.3000000000005
episode 231: -59.00000000000048
episode 232: -55.90430211816554
episode 233: -72.50000000000011
episode 234: -69.80000000000013
episode 235: -64.40000000000055
episode 236: -67.1000000000004
episode 237: -57.20000000000051
episode 238: -64.40000000000055
episode 239: -61.70000000000057
episode 240: -57.20000000000049
episode 241: -62.60000000000046
episode 242: -59.00000000000056
episode 243: -66.2000000000004
episode 244: -61.700000000000514
episode 245: -59.90000000000051
episode 246: -56.30000000000047
episode 247: -59.00000000000049
episode 248: -59.384575935056375
episode 249: -58.78803821571615
episode 250: -59.900000000000496
episode 251: -64.40000000000049
episode 252: -68.00000000000031
episode 253: -61.700000000000564
episode 254: -59.000000000000504
episode 255: -59.900000000000524
episode 256: -61.7000000000005
episode 257: -50.54707577487589
episode 258: -62.600000000000485
episode 259: -12.321453924355454
episode 260: -63.50000000000055
episode 261: -66.20000000000043
episode 262: -54.1772144196862
episode 263: -64.40000000000052
episode 264: -69.80000000000015
episode 265: -58.100000000000506
episode 266: -56.30000000000048
episode 267: -56.30000000000047
episode 268: -70.70000000000012
episode 269: -62.60000000000052
episode 270: -60.80000000000048
episode 271: -63.50000000000056
episode 272: -62.600000000000534
episode 273: -59.00000000000053
episode 274: -77.89999999999993
episode 275: -64.40000000000052
episode 276: -65.30000000000047
episode 277: -68.0000000000004
episode 278: -59.90000000000049
episode 279: -70.7000000000001
episode 280: -64.40000000000055
episode 281: -23.712058921144894
episode 282: -60.800000000000495
episode 283: -66.20000000000037
episode 284: -56.300000000000495
episode 285: -53.60000000000048
episode 286: -49.673808459220815
episode 287: -68.90000000000022
episode 288: -68.00000000000034
episode 289: -63.50000000000053
episode 290: -76.0999999999998
episode 291: -80.59999999999965
episode 292: -51.57758330276816
episode 293: -64.40000000000045
episode 294: -63.50000000000058
episode 295: -55.166767519268475
episode 296: -71.60000000000007
episode 297: -62.60000000000056
episode 298: -64.40000000000047
episode 299: -41.88148022233363
episode 300: -67.1000000000003
episode 301: -59.00000000000052
episode 302: -59.9000000000005
episode 303: -59.90000000000052
episode 304: -57.20000000000052
episode 305: -59.00000000000049
episode 306: -59.900000000000496
episode 307: -50.68569631650768
episode 308: -59.90000000000049
episode 309: -56.300000000000495
episode 310: -61.700000000000564
episode 311: -64.4000000000005
episode 312: -67.10000000000028
episode 313: -76.09999999999998
episode 314: -63.50000000000047
episode 315: -56.30000000000047
episode 316: -54.194950001756816
episode 317: -61.700000000000514
episode 318: -60.800000000000516
episode 319: -60.80000000000049
episode 320: -65.30000000000048
episode 321: -59.000000000000504
episode 322: -68.00000000000037
episode 323: -59.000000000000504
episode 324: -57.20000000000047
episode 325: -56.300000000000495
episode 326: -68.0000000000005
episode 327: -64.40000000000046
episode 328: -62.600000000000485
episode 329: -75.19999999999987
episode 330: -60.80000000000053
episode 331: -64.40000000000053
episode 332: -56.3000000000005
episode 333: -56.30000000000049
episode 334: -58.100000000000506
episode 335: -44.87161881757102
episode 336: -64.40000000000056
episode 337: -56.300000000000495
episode 338: -54.3262193386072
episode 339: -60.80000000000055
episode 340: -55.40000000000048
episode 341: -54.17031024545454
episode 342: -63.500000000000504
episode 343: -59.000000000000504
episode 344: -53.60000000000047
episode 345: -61.7000000000005
episode 346: -58.100000000000506
episode 347: -60.8000000000005
episode 348: -56.300000000000495
episode 349: -68.00000000000027
episode 350: -64.4000000000005
episode 351: -76.0999999999999
episode 352: -66.20000000000036
episode 353: -54.50000000000048
episode 354: -57.61826692382052
episode 355: -59.90000000000049
episode 356: -25.176908505091163
episode 357: -73.39999999999986
episode 358: -64.40000000000043
episode 359: -55.40000000000049
episode 360: -64.40000000000055
episode 361: -60.8000000000005
episode 362: -54.50000000000048
episode 363: -49.52604438412059
episode 364: -60.80000000000049
episode 365: -50.913368660082675
episode 366: -58.100000000000506
episode 367: -55.4000000000005
episode 368: -61.70000000000057
episode 369: -57.20000000000051
episode 370: -68.00000000000024
episode 371: -55.40000000000047
episode 372: -57.20000000000049
episode 373: -56.30000000000048
episode 374: -57.20000000000051
episode 375: -61.70000000000052
episode 376: -68.9000000000002
episode 377: -59.00000000000048
episode 378: -55.400000000000496
episode 379: -64.40000000000045
episode 380: -59.000000000000504
episode 381: -67.10000000000028
episode 382: -60.80000000000049
episode 383: -66.20000000000041
episode 384: -61.7000000000005
episode 385: -70.70000000000014
episode 386: -57.20000000000047
episode 387: -60.800000000000495
episode 388: -53.60000000000045
episode 389: -56.30000000000048
episode 390: -61.70000000000052
episode 391: -68.00000000000026
episode 392: -66.2000000000004
episode 393: -20.420011897789934
episode 394: -59.90000000000053
episode 395: -55.4000000000005
episode 396: -63.50000000000058
episode 397: -59.90000000000053
episode 398: -61.700000000000486
episode 399: -61.70000000000053
episode 400: -61.70000000000049
episode 401: -74.29999999999991
episode 402: -59.00000000000052
episode 403: -59.000000000000526
episode 404: -62.600000000000485
episode 405: -59.900000000000475
episode 406: -38.63784418228907
episode 407: -69.80000000000018
episode 408: -62.60000000000051
episode 409: -45.64494216018698
episode 410: -60.80000000000052
episode 411: -62.60000000000055
episode 412: -62.600000000000556
episode 413: -50.68094759867208
episode 414: -56.30000000000049
episode 415: -67.10000000000028
episode 416: -61.700000000000514
episode 417: -54.438107160410354
episode 418: -63.5000000000005
episode 419: -65.30000000000047
episode 420: -57.20000000000051
episode 421: -57.20000000000049
episode 422: -56.30000000000051
episode 423: -58.10000000000054
episode 424: -59.00000000000049
episode 425: -67.10000000000035
episode 426: -63.50000000000052
episode 427: -56.30000000000047
episode 428: -62.60000000000059
episode 429: -62.60000000000057
episode 430: -64.40000000000047
episode 431: -68.90000000000019
episode 432: -66.20000000000039
episode 433: -57.20000000000049
episode 434: -61.7000000000005
episode 435: -55.40000000000046
episode 436: -58.1000000000005
episode 437: -59.90000000000051
episode 438: -67.10000000000034
episode 439: -65.30000000000048
episode 440: -62.60000000000057
episode 441: -58.10000000000047
episode 442: -77.90000000000035
episode 443: -71.60000000000007
episode 444: -58.10000000000048
episode 445: -46.48156964176333
episode 446: -54.47800371029996
episode 447: -58.10000000000047
episode 448: -32.18228383342024
episode 449: -61.70000000000049
episode 450: -61.70000000000054
episode 451: -67.10000000000026
episode 452: -60.80000000000049
episode 453: -60.80000000000055
episode 454: -60.80000000000054
episode 455: -75.19999999999997
episode 456: -58.100000000000506
episode 457: -59.90000000000051
episode 458: -61.7000000000005
episode 459: -53.524067011545746
episode 460: -57.20000000000047
episode 461: -60.8000000000005
episode 462: -62.316047652741325
episode 463: -57.20000000000049
episode 464: -59.90000000000055
episode 465: -57.20000000000052
episode 466: -67.10000000000036
episode 467: -56.300000000000495
episode 468: -63.50000000000048
episode 469: -59.00000000000052
episode 470: -61.7000000000005
episode 471: -60.80000000000058
episode 472: -57.02494472695516
episode 473: -70.70000000000016
episode 474: -59.000000000000526
episode 475: -69.80000000000041
episode 476: -66.20000000000039
episode 477: -61.700000000000486
episode 478: -57.200000000000465
episode 479: -58.10000000000052
episode 480: -61.70000000000055
episode 481: -58.100000000000534
episode 482: -58.100000000000506
episode 483: -62.60000000000056
episode 484: -59.00000000000048
episode 485: -56.30000000000049
episode 486: -51.11274287083445
episode 487: -61.70000000000055
episode 488: -63.50000000000048
episode 489: -63.500000000000476
episode 490: -59.000000000000504
episode 491: -56.300000000000516
episode 492: -60.58201752184271
episode 493: -57.20000000000048
episode 494: -57.804400045056816
episode 495: -63.50000000000052
episode 496: -73.40000000000016
episode 497: -61.70000000000049
episode 498: -56.3000000000005
episode 499: -54.46222066888824
episode 500: -62.60000000000052
episode 501: -63.50000000000051
episode 502: -71.60000000000001
episode 503: -58.10000000000047
episode 504: -57.2000000000005
episode 505: -57.20000000000051
episode 506: -59.90000000000052
episode 507: -59.900000000000546
episode 508: -61.70000000000053
episode 509: -59.000000000000504
episode 510: -69.8000000000002
episode 511: -54.500000000000476
episode 512: -51.436455286302184
episode 513: -68.00000000000024
episode 514: -59.00000000000047
episode 515: -58.10000000000047
episode 516: -59.00000000000049
episode 517: -61.70000000000049
episode 518: -59.00000000000049
episode 519: -71.60000000000014
episode 520: -63.50000000000051
episode 521: -68.00000000000028
episode 522: -74.29999999999994
episode 523: -64.40000000000043
episode 524: -63.500000000000526
episode 525: -58.100000000000506
episode 526: -65.30000000000045
episode 527: -61.70000000000052
episode 528: -58.1000000000005
episode 529: -59.90000000000051
episode 530: -63.50000000000058
episode 531: -23.88131407459302
episode 532: -59.9000000000005
episode 533: -66.2000000000005
episode 534: -68.90000000000025
episode 535: -58.10000000000049
episode 536: -59.00000000000049
episode 537: -63.5000000000005
episode 538: -56.3000000000005
episode 539: -59.9000000000005
episode 540: -58.100000000000485
episode 541: -47.83492462604435
episode 542: -62.60000000000053
episode 543: -59.90000000000051
episode 544: -64.40000000000047
episode 545: -62.6000000000005
episode 546: -63.5000000000005
episode 547: -66.20000000000046
episode 548: -59.90000000000056
episode 549: -57.20000000000051
episode 550: -61.7000000000005
episode 551: -62.60000000000057
