C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee sf --graphs -m softmax_train_up -d 0.99 -a 0.5 -e 0.002 --noswing
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 273: 2500.0
episode 274: 2500.0
episode 275: 2500.0
episode 276: 2500.0
episode 277: 2500.0
episode 278: 2500.0
episode 279: 2500.0
episode 280: 2500.0
episode 281: 2500.0
episode 282: 2500.0
episode 283: 2500.0
episode 284: 2500.0
episode 285: 2500.0
episode 286: 2500.0
episode 287: 2500.0
episode 288: 2500.0
episode 289: 2500.0
episode 290: 2500.0
episode 291: 2500.0
episode 292: 2500.0
episode 293: 2500.0
episode 294: 2500.0
episode 295: 2500.0
episode 296: 2500.0
episode 297: 2500.0
episode 298: 2500.0
episode 299: 2500.0
episode 300: 2500.0
episode 301: 2500.0
episode 302: 2500.0
episode 303: 2500.0
episode 304: 2500.0
episode 305: 2500.0
episode 306: 2500.0
episode 307: 2500.0
episode 308: 2500.0
episode 309: 2500.0
episode 310: 2500.0
episode 311: 2500.0
episode 312: 2500.0
episode 313: 2500.0
episode 314: 2500.0
episode 315: 2500.0
episode 316: 2500.0
episode 317: 2500.0
episode 318: 2500.0
episode 319: 2500.0
episode 320: 2500.0
episode 321: 2500.0
episode 322: 2500.0
episode 323: 2500.0
episode 324: 2500.0
episode 325: 2500.0
episode 326: 2500.0
episode 327: 2500.0
episode 328: 2500.0
episode 329: 2500.0
episode 330: 2500.0
episode 331: 2500.0
episode 332: 2500.0
episode 333: 2500.0
episode 334: 2500.0
episode 335: 2500.0
episode 336: 2500.0
episode 337: 2500.0
episode 338: 2500.0
episode 339: 2500.0
episode 340: 2500.0
episode 341: 2500.0
episode 342: 2500.0
episode 343: 2500.0
episode 344: 2500.0
episode 345: 2500.0
episode 346: 2500.0
episode 347: 2500.0
episode 348: 2500.0
episode 349: 2500.0
episode 350: 2500.0
episode 351: 2500.0
episode 352: 2500.0
episode 353: 2500.0
episode 354: 2500.0
episode 355: 2500.0
episode 356: 2500.0
episode 357: 2500.0
episode 358: 2500.0
episode 359: 2500.0
episode 360: 2500.0
episode 361: 2500.0
episode 362: 2500.0
episode 363: 2500.0
episode 364: 2500.0
episode 365: 2500.0
episode 366: 2500.0
episode 367: 2500.0
episode 368: 2500.0
episode 369: 2500.0
episode 370: 2500.0
episode 371: 2500.0
episode 372: 2500.0
episode 373: 2500.0
episode 374: 2500.0
episode 375: 2500.0
episode 376: 2500.0
episode 377: 2500.0
episode 378: 2500.0
episode 379: 2500.0
episode 380: 2500.0
episode 381: 2500.0
episode 382: 2500.0
episode 383: 2500.0
episode 384: 2500.0
episode 385: 2500.0
episode 386: 2500.0
episode 387: 2500.0
episode 388: 2500.0
episode 389: 2500.0
episode 390: 2500.0
episode 391: 2500.0
episode 392: 2500.0
episode 393: 2500.0
episode 394: 2500.0
episode 395: 2500.0
episode 396: 2500.0
episode 397: 2500.0
episode 398: 2500.0
episode 399: 2500.0
episode 400: 2500.0
episode 401: 2500.0
episode 402: 2500.0
episode 403: 2500.0
episode 404: 2500.0
episode 405: 2500.0
episode 406: 2500.0
episode 407: 2500.0
episode 408: 2500.0
episode 409: 2500.0
episode 410: 2500.0
episode 411: 2500.0
episode 412: 2500.0
episode 413: 2500.0
episode 414: 2500.0
episode 415: 2500.0
episode 416: 2500.0
episode 417: 2500.0
episode 418: 2500.0
episode 419: 2500.0
episode 420: 2500.0
episode 421: 2500.0
episode 422: 2500.0
episode 423: 2500.0
episode 424: 2500.0
episode 425: 2500.0
