C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee sf --graphs -m S_M_250_maxreward -d 0.99 -a 0.5 -e 0.002 --maxreward 250
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 216: -67.10000000000034
episode 217: -60.80000000000047
episode 218: -59.000000000000504
episode 219: -45.85107287174364
episode 220: -68.00000000000044
episode 221: -75.19999999999978
episode 222: -62.60000000000051
episode 223: -59.00000000000052
episode 224: -61.70000000000052
episode 225: -56.300000000000516
episode 226: -63.50000000000052
episode 227: -61.70000000000055
episode 228: -50.34757493406369
episode 229: -69.80000000000018
episode 230: -61.70000000000051
episode 231: -57.20000000000049
episode 232: -59.00000000000048
episode 233: -76.10000000000021
episode 234: -61.70000000000051
episode 235: -62.60000000000055
episode 236: -56.300000000000466
episode 237: -61.700000000000486
episode 238: -75.20000000000023
episode 239: -59.90000000000055
episode 240: -66.20000000000029
episode 241: -83.29999999999961
episode 242: -66.20000000000033
episode 243: -65.30000000000044
episode 244: -68.00000000000031
episode 245: -58.1000000000005
episode 246: -57.200000000000486
episode 247: -60.80000000000045
episode 248: -55.968255772985145
episode 249: -55.40000000000047
episode 250: -62.60000000000055
episode 251: -61.700000000000514
episode 252: -65.30000000000044
episode 253: -59.90000000000049
episode 254: -59.90000000000052
episode 255: -60.80000000000054
episode 256: -72.5
episode 257: -57.20000000000049
episode 258: -59.00000000000052
episode 259: -62.60000000000047
episode 260: -59.000000000000526
episode 261: -54.50000000000048
episode 262: -74.29999999999988
episode 263: -58.10000000000049
episode 264: -60.80000000000053
episode 265: -67.10000000000034
episode 266: -66.20000000000039
episode 267: -61.7000000000005
episode 268: -68.00000000000044
episode 269: -59.90000000000044
episode 270: -55.40000000000047
episode 271: -57.20000000000049
episode 272: -56.30000000000051
episode 273: -51.79553932106594
episode 274: -61.70000000000054
episode 275: -45.17292892906154
episode 276: -63.50000000000057
episode 277: -65.30000000000045
episode 278: -62.6000000000005
episode 279: -57.20000000000051
episode 280: -66.20000000000049
episode 281: -54.50000000000048
episode 282: -75.19999999999968
episode 283: -53.60000000000047
episode 284: -59.00000000000053
episode 285: -57.20000000000049
episode 286: -59.900000000000475
episode 287: -60.80000000000047
episode 288: -67.10000000000028
episode 289: -60.80000000000047
episode 290: -47.85162229168443
episode 291: -63.500000000000504
episode 292: -45.79773194721848
episode 293: -48.85425740284424
episode 294: -58.10000000000049
episode 295: -61.70000000000052
episode 296: -73.39999999999998
episode 297: -59.00000000000053
episode 298: -70.70000000000005
episode 299: -59.00000000000047
episode 300: -62.60000000000051
episode 301: -63.50000000000055
episode 302: -68.90000000000012
episode 303: -51.2770576707405
episode 304: -58.10000000000052
episode 305: -56.30000000000047
episode 306: -63.50000000000055
episode 307: -59.00000000000049
episode 308: -68.90000000000023
episode 309: -58.100000000000485
episode 310: -44.052034557458256
episode 311: -58.10000000000047
episode 312: -65.30000000000047
episode 313: -57.200000000000465
episode 314: -54.50000000000048
episode 315: -68.0000000000004
episode 316: -66.20000000000036
episode 317: -66.20000000000041
episode 318: -63.500000000000604
episode 319: -59.90000000000047
episode 320: -64.40000000000055
episode 321: -53.60000000000047
episode 322: -62.6000000000005
episode 323: -51.46852623843839
episode 324: -61.7000000000005
episode 325: -76.99999999999972
episode 326: -58.10000000000052
episode 327: -62.600000000000485
episode 328: -44.97953861002204
episode 329: -56.300000000000495
episode 330: -59.9000000000005
episode 331: -43.71128477057089
episode 332: -63.500000000000554
episode 333: -59.90000000000049
episode 334: -78.79999999999966
episode 335: -56.91599993749986
episode 336: -60.80000000000047
episode 337: -59.90000000000049
episode 338: -75.19999999999982
episode 339: -63.500000000000526
episode 340: -60.8000000000005
episode 341: -43.16775570406123
episode 342: -65.3000000000004
episode 343: -70.70000000000023
episode 344: -65.30000000000047
episode 345: -67.10000000000034
episode 346: -60.80000000000051
episode 347: -53.60000000000048
episode 348: -61.70000000000054
episode 349: -68.00000000000036
episode 350: -59.00000000000056
episode 351: -54.50000000000048
episode 352: -64.40000000000052
episode 353: -50.51306982765985
episode 354: -59.90000000000049
episode 355: -61.7000000000005
episode 356: -58.10000000000052
episode 357: -64.40000000000046
episode 358: -60.800000000000495
episode 359: -64.40000000000047
episode 360: -61.70000000000056
episode 361: -64.40000000000046
episode 362: -74.29999999999995
episode 363: -60.80000000000048
episode 364: -59.90000000000052
episode 365: -64.40000000000047
episode 366: -68.00000000000031
episode 367: -56.300000000000495
episode 368: -47.88910686719695
episode 369: -63.50000000000051
episode 370: -62.600000000000506
episode 371: -58.10000000000049
episode 372: -57.20000000000052
episode 373: -66.2000000000004
episode 374: -70.70000000000041
episode 375: -67.10000000000025
episode 376: -66.20000000000036
episode 377: -55.40000000000047
episode 378: -68.90000000000016
episode 379: -59.00000000000052
episode 380: -61.70000000000057
episode 381: -57.20000000000049
episode 382: -57.2000000000005
episode 383: -68.90000000000023
episode 384: -57.2000000000005
episode 385: -68.00000000000024
episode 386: -52.70000000000045
episode 387: -63.5000000000005
episode 388: -61.7000000000005
episode 389: -70.70000000000007
episode 390: -55.400000000000496
episode 391: -64.4000000000005
episode 392: -70.70000000000022
episode 393: -65.30000000000048
episode 394: -68.90000000000019
