C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee eg --graphs -m E_G_10000_episodes -d 0.99 -a 0.5 -e 0.002
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 217: -49.693357024545335
episode 218: -44.48199141272733
episode 219: -51.800000000000466
episode 220: -39.22439471031318
episode 221: -44.85313876360502
episode 222: -42.44276870120872
episode 223: -48.55791432214063
episode 224: -43.12480462113025
episode 225: -28.169824115248108
episode 226: -34.55089970230214
episode 227: 139.62852034205528
episode 228: -24.445901951241492
episode 229: -37.936001165070266
episode 230: -35.235683281587455
episode 231: 557.9674813440796
episode 232: -39.60343187282208
episode 233: -29.44734547382609
episode 234: -54.50000000000045
episode 235: -54.50000000000047
episode 236: -52.70000000000045
episode 237: -56.30000000000048
episode 238: -57.20000000000048
episode 239: -56.30000000000048
episode 240: -55.400000000000496
episode 241: -46.11690571968653
episode 242: 716.4314820053243
episode 243: 15.483278139880401
episode 244: -48.478670006988004
episode 245: -43.06005399292834
episode 246: -43.46862946851903
episode 247: -49.65477024153092
episode 248: -54.50000000000048
episode 249: -49.506312541787544
episode 250: -35.523840827364026
episode 251: 0.7900190505817511
episode 252: 22.405484013695748
episode 253: -44.517806588537475
episode 254: -48.55057177954382
episode 255: -50.2113714956103
episode 256: -23.365276418338457
episode 257: -34.57081026878809
episode 258: -31.319313348939513
episode 259: -37.889066255224755
episode 260: -59.00000000000058
episode 261: -1.6607051977645866
episode 262: -52.70000000000045
episode 263: -40.25886651609044
episode 264: -53.60000000000047
episode 265: -43.52978720247935
episode 266: -43.73700968227241
episode 267: -53.60000000000045
episode 268: -37.04555934388552
episode 269: -35.68763367534471
episode 270: -47.41554763971084
episode 271: 34.194413338448705
episode 272: 7.146625290303319
episode 273: -5.299298188922092
episode 274: 46.7498733639695
episode 275: -43.45239851732931
episode 276: 1203.207576332883
episode 277: -36.71592798394908
episode 278: -36.25296477302794
episode 279: -19.85256322990965
episode 280: -46.33726329879938
episode 281: -48.94776761083416
episode 282: -45.12637498882788
episode 283: -39.26238097422299
episode 284: 294.9751017848739
episode 285: -40.39032002943114
episode 286: 551.99216393004
episode 287: -48.92991210987151
episode 288: -35.32993004324068
episode 289: 121.66333799395831
episode 290: -30.77472381574996
episode 291: -41.90619263301706
episode 292: 68.51638836221667
episode 293: -36.95698764124087
episode 294: 350.04297448258745
episode 295: -53.60000000000047
episode 296: 298.5953251446272
episode 297: -44.23807400082364
episode 298: -50.63382390234612
episode 299: -54.50000000000047
episode 300: 216.34333055781846
episode 301: 100.0316484506042
episode 302: 334.77215205535754
episode 303: -38.37310718379705
episode 304: -2.7336149933104865
episode 305: 130.51785687094713
episode 306: -45.61905997592905
episode 307: 209.47342239572853
episode 308: -31.210681163139757
episode 309: 588.8825114144239
episode 310: -41.803834829752574
episode 311: -43.94328962161889
episode 312: 384.061336234851
episode 313: 608.7198910651512
episode 314: -51.80000000000045
episode 315: -23.688203051704498
episode 316: -36.40028110527191
episode 317: -0.768065330697273
episode 318: 17.30383763935697
episode 319: 119.63351187755762
episode 320: -47.602480713452394
episode 321: -39.70832667227137
episode 322: 697.0938020513897
episode 323: -35.32311565853424
episode 324: -44.10147033422648
episode 325: 105.56390009031531
episode 326: 61.13778192452531
episode 327: -58.10000000000046
episode 328: -40.664511701507436
episode 329: 41.332623639819445
