C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee sf --graphs -m softmax_train -d 0.99 -a 0.5 -e 0.002
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 217: -59.900000000000524
episode 218: -65.30000000000048
episode 219: -65.30000000000044
episode 220: -59.90000000000052
episode 221: -62.60000000000047
episode 222: -53.60000000000048
episode 223: -61.70000000000052
episode 224: -51.435263238387115
episode 225: -60.800000000000516
episode 226: -64.40000000000056
episode 227: -52.70000000000045
episode 228: -72.50000000000018
episode 229: -62.60000000000053
episode 230: -67.10000000000029
episode 231: -74.29999999999988
episode 232: -66.20000000000047
episode 233: -62.6000000000005
episode 234: -56.30000000000049
episode 235: -55.400000000000475
episode 236: -82.39999999999995
episode 237: -65.30000000000048
episode 238: -47.09401845961521
episode 239: -47.83443906359638
episode 240: -67.10000000000039
episode 241: -56.26020060326782
episode 242: -59.000000000000504
episode 243: -67.10000000000039
episode 244: -62.6000000000006
episode 245: -63.50000000000053
episode 246: -58.100000000000506
episode 247: -70.70000000000019
episode 248: -59.90000000000049
episode 249: -51.7759809694195
episode 250: -68.00000000000023
episode 251: -71.60000000000015
episode 252: -68.90000000000025
episode 253: -59.9000000000005
episode 254: 46.74276184946437
episode 255: -65.30000000000042
episode 256: -54.50000000000045
episode 257: -67.10000000000025
episode 258: -50.52227806296968
episode 259: -55.492765771468484
episode 260: -59.90000000000051
episode 261: -56.300000000000466
episode 262: -59.90000000000051
episode 263: -61.7000000000005
episode 264: -59.00000000000049
episode 265: -63.50000000000055
episode 266: -55.40000000000051
episode 267: -59.00000000000047
episode 268: -60.80000000000053
episode 269: -57.20000000000049
episode 270: -60.80000000000055
episode 271: -68.9000000000001
episode 272: -58.100000000000506
episode 273: -73.4000000000001
episode 274: -55.4000000000005
episode 275: -59.792553681756054
episode 276: -55.40000000000048
episode 277: -59.00000000000051
episode 278: -60.80000000000049
episode 279: -61.70000000000057
episode 280: -62.60000000000052
episode 281: -58.10000000000052
episode 282: -53.12666227042948
episode 283: -68.00000000000018
episode 284: -70.7000000000002
episode 285: -62.60000000000051
episode 286: -61.70000000000056
episode 287: -67.10000000000024
episode 288: -59.90000000000055
episode 289: -59.9000000000005
episode 290: -59.900000000000496
episode 291: -58.100000000000456
episode 292: -54.5000000000005
episode 293: -59.90000000000053
episode 294: -61.70000000000049
episode 295: -58.10000000000047
episode 296: -60.80000000000049
episode 297: -63.50000000000057
episode 298: -37.536175353120605
episode 299: -63.50000000000055
episode 300: -64.40000000000053
episode 301: -66.20000000000044
episode 302: -66.6988685519435
episode 303: -57.20000000000053
episode 304: -59.000000000000504
episode 305: -54.5000000000005
episode 306: -57.20000000000051
episode 307: -63.50000000000051
episode 308: -66.20000000000034
episode 309: -52.636601642679615
