C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee eg --graphs -m E_G_750_maxreward -d 0.99 -a 0.5 -e 0.002 --maxreward 750
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 215: -54.50000000000047
episode 216: -42.356482755583144
episode 217: -49.7337227676889
episode 218: 947.3158818988438
episode 219: 57.0757725829298
episode 220: -49.72193336147451
episode 221: -35.31612641888214
episode 222: -47.98885219859781
episode 223: -43.040402515845734
episode 224: 72.69209364163655
episode 225: -44.67524942330385
episode 226: 1267.3211221553054
episode 227: -25.941068842481506
episode 228: -55.40000000000048
episode 229: -44.592985675192516
episode 230: -47.16878706590104
episode 231: -46.24863555396569
episode 232: 47.95806368175279
episode 233: -52.27721793072642
episode 234: -56.300000000000466
episode 235: 328.90427263639344
episode 236: -51.80000000000045
episode 237: -41.37680021475127
episode 238: -47.399040372208276
episode 239: -49.042976171362795
episode 240: -16.28398108085088
episode 241: -44.19074745682345
episode 242: -37.630033731406236
episode 243: -51.86682462656494
episode 244: -13.970055006164875
episode 245: -29.962947183353197
episode 246: -45.70750594270823
episode 247: -16.485262409831293
episode 248: -39.89709593768435
episode 249: -53.60000000000045
episode 250: -50.607691245246755
episode 251: -44.24183872715584
episode 252: -32.99229044090913
episode 253: -35.097211271534526
episode 254: -54.50000000000048
episode 255: 583.6176902419319
episode 256: 36.719471807455776
episode 257: 261.7844190397955
episode 258: -10.479969784413708
episode 259: -12.212051705685077
episode 260: -46.9919017525354
episode 261: 106.55480610666329
episode 262: -37.27196066182294
episode 263: 1200.3285495660245
episode 264: -39.116393403934254
episode 265: 11.444102255279478
episode 266: -11.83969902966614
episode 267: -48.17054947420415
episode 268: 47.70341872674944
episode 269: -40.015096551179155
episode 270: -52.70000000000047
episode 271: 445.09040735807525
episode 272: -40.56899282295989
episode 273: 44.84966072269201
episode 274: -41.706056163060374
episode 275: -39.37344294896102
episode 276: 392.11441904749563
episode 277: -37.37181381348201
episode 278: 82.16111305333715
episode 279: -17.77732443831539
episode 280: -41.813464418997114
episode 281: 950.9166028690164
episode 282: 127.81726803884648
episode 283: -55.40000000000048
episode 284: -9.02769594662786
episode 285: 809.7577054227685
episode 286: -45.87491499473894
episode 287: -52.70000000000047
episode 288: 765.6326685275228
episode 289: -45.100230870429286
episode 290: 797.0394575917511
episode 291: -30.13841838401922
episode 292: 175.34158908078552
episode 293: -14.845792295312288
episode 294: 95.7811389652242
episode 295: -32.02200455264931
episode 296: 6.193916231003369
episode 297: 1088.1979746742834
episode 298: 660.7825360082336
episode 299: -19.106491140111658
episode 300: 31.416591864239116
episode 301: 92.53648416608567
episode 302: -41.662834092957176
episode 303: -39.88166384545453
episode 304: -22.560742505746163
episode 305: 37.4475017151789
episode 306: -45.94503201196392
episode 307: -48.42379107549527
episode 308: 1129.3085888840471
episode 309: 171.80788240767887
episode 310: -47.47085693896174
episode 311: -55.400000000000496
episode 312: -43.41093508883173
episode 313: -34.55937731455111
episode 314: -44.227601450078204
episode 315: -19.861851133823784
episode 316: -51.800000000000466
episode 317: -21.57807905992769
episode 318: 55.132111690910264
episode 319: -44.253287347595865
episode 320: -54.50000000000047
episode 321: 532.8579421286538
episode 322: -34.853966713548644
episode 323: -44.994431755715915
episode 324: -44.11004233486808
episode 325: 1.0819507618680602
episode 326: -40.30781755415612
episode 327: -46.370448137791755
episode 328: -4.22093807720353
episode 329: -43.57195492683819
episode 330: -23.82684919385579
