C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee eg --graphs -m E_G_250_maxreward -d 0.99 -a 0.5 -e 0.002 --maxreward 250
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 1: -68.90000000000025
episode 2: -67.10000000000024
episode 3: -69.80000000000014
episode 4: -57.20000000000049
episode 5: -64.40000000000047
episode 6: -60.8000000000005
episode 7: -56.30000000000048
episode 8: -58.10000000000053
episode 9: -58.100000000000506
episode 10: -60.80000000000054
episode 11: -68.90000000000026
episode 12: -58.10000000000048
episode 13: -54.50000000000046
episode 14: -59.00000000000055
episode 15: -57.2000000000005
episode 16: -57.20000000000051
episode 17: -58.10000000000049
episode 18: -59.90000000000047
episode 19: -55.40000000000048
episode 20: -63.500000000000554
episode 21: -57.20000000000049
episode 22: -55.40000000000047
episode 23: -33.77275763879899
episode 24: -53.60000000000046
episode 25: -55.40000000000047
episode 26: -45.640301040666394
episode 27: -45.63346527074688
episode 28: -55.400000000000475
episode 29: -58.10000000000046
episode 30: -56.300000000000466
episode 31: -63.500000000000526
episode 32: -35.507682818943486
episode 33: -57.2000000000005
episode 34: -55.400000000000496
episode 35: -55.40000000000047
episode 36: -54.5000000000005
episode 37: -58.1000000000005
episode 38: -54.50000000000048
episode 39: -57.200000000000465
episode 40: -51.430208989427165
episode 41: -51.800000000000466
episode 42: -43.44886363197662
episode 43: -52.700000000000465
episode 44: -58.10000000000048
episode 45: -6.079789574226918
episode 46: -53.60000000000046
episode 47: -55.40000000000047
episode 48: -48.75944444230561
episode 49: -54.50000000000047
episode 50: -57.200000000000486
episode 51: -46.192104858476256
episode 52: -53.600000000000485
episode 53: -54.50000000000047
episode 54: -54.50000000000048
episode 55: -38.07154812669407
episode 56: -56.30000000000047
episode 57: -54.50000000000045
episode 58: -42.71294084306256
episode 59: -47.88891548940569
episode 60: -42.83235717958959
episode 61: -44.17469807391704
episode 62: -53.600000000000485
episode 63: -55.40000000000048
episode 64: -51.80000000000045
episode 65: -53.60000000000048
episode 66: -56.30000000000048
episode 67: -52.700000000000465
episode 68: -49.284166592873106
episode 69: -56.30000000000046
episode 70: -52.54496505129082
episode 71: -55.40000000000048
episode 72: -34.75553111055534
episode 73: -54.50000000000048
episode 74: -59.000000000000476
episode 75: -41.98374189403088
episode 76: -53.60000000000047
episode 77: -48.04219150865447
episode 78: -57.20000000000048
episode 79: -48.61535876541333
episode 80: -40.744084092404
episode 81: -53.600000000000485
episode 82: -42.67812266243265
episode 83: -54.50000000000048
episode 84: -49.88599390209754
episode 85: -51.711752292954515
episode 86: -49.965238300418385
episode 87: -54.500000000000476
episode 88: -35.72623026337083
episode 89: -42.80915562482336
episode 90: -46.108328169199375
episode 91: -51.80000000000047
episode 92: -45.67725795086351
episode 93: -42.94250343295668
episode 94: -54.50000000000047
episode 95: -57.20000000000049
episode 96: -51.80000000000045
episode 97: -42.99652158356867
episode 98: -54.50000000000048
episode 99: -53.60000000000047
episode 100: -59.00000000000046
episode 101: -48.66814666718329
episode 102: -40.72978772322734
episode 103: -45.491920522227396
episode 104: -56.300000000000466
episode 105: -51.80000000000047
episode 106: -48.03321583183756
episode 107: -54.50000000000047
episode 108: -44.835558648480266
episode 109: -47.83101566367634
episode 110: -34.64160390421902
episode 111: -57.20000000000049
episode 112: -58.10000000000049
episode 113: -49.07596056892114
episode 114: -32.62650975915555
episode 115: -42.28859711111396
episode 116: -44.74821158825116
episode 117: -47.53838079631462
episode 118: -42.14232458628637
episode 119: -34.075719035770916
episode 120: -47.9297758023901
episode 121: -22.558935459030554
episode 122: -45.915086055931226
episode 123: -49.59724338549916
episode 124: -20.59978644216877
episode 125: -17.779208952077816
episode 126: -30.08333621659227
episode 127: -51.81850602985719
episode 128: -48.22363757916277
episode 129: -56.30000000000048
episode 130: -35.53261164832293
episode 131: -43.818471567766665
episode 132: -42.96976305208857
episode 133: -40.62677600666188
episode 134: -60.80000000000047
episode 135: -37.25666771161541
episode 136: -39.2988909109323
episode 137: -55.40000000000049
episode 138: -31.961184184520416
episode 139: -57.200000000000465
episode 140: -54.50000000000045
episode 141: -38.44680919019281
episode 142: -54.50000000000048
episode 143: -53.60000000000047
episode 144: -46.980607605939795
episode 145: -24.834774225850758
episode 146: 341.3098941074698
episode 147: -50.90000000000045
episode 148: -47.051425334013416
episode 149: -57.200000000000465
episode 150: 225.31625274578673
episode 151: -47.78283881474363
episode 152: -35.136853299648116
episode 153: 255.70042744884236
episode 154: -48.78877836002692
episode 155: -45.531535676588504
episode 156: -47.07516025268343
episode 157: -49.41691178402334
episode 158: 93.06297216186415
episode 159: -46.355301185181446
episode 160: -49.11594315491362
episode 161: 577.2776484875365
episode 162: -55.40000000000048
episode 163: -45.0267640834682
episode 164: -58.10000000000049
episode 165: -55.40000000000047
episode 166: -45.850421997824476
episode 167: -42.815394183454956
episode 168: 146.64017467449793
episode 169: -44.30759915353914
episode 170: -40.279017604066695
episode 171: -56.300000000000516
episode 172: 899.4063775541897
episode 173: -55.40000000000048
episode 174: 16.428659291071853
episode 175: 94.34352659252848
episode 176: -55.40000000000049
episode 177: -45.64681018198774
episode 178: -52.70000000000047
episode 179: -47.36913380311971
episode 180: -41.08645321445161
episode 181: -54.50000000000047
episode 182: -49.709841183838165
episode 183: -53.60000000000046
episode 184: 524.6789068570829
episode 185: -28.413233260009612
episode 186: -54.50000000000046
episode 187: 19.10567484716178
episode 188: -54.50000000000047
episode 189: -59.000000000000526
episode 190: -47.67479602767184
episode 191: 353.27868908461517
episode 192: 118.82053328610438
episode 193: -55.400000000000496
episode 194: -33.45771431534696
episode 195: -32.91562092804239
episode 196: -54.50000000000045
episode 197: -37.93807267599415
episode 198: -33.202937883446275
episode 199: 220.4367386085346
episode 200: -9.168775527371588
episode 201: -29.186952758193762
episode 202: -37.80722766782809
episode 203: -40.17183682249976
episode 204: -40.128388725523536
episode 205: -41.181029921799734
episode 206: 173.85634257546874
episode 207: 27.463246233517612
episode 208: -56.30000000000048
episode 209: -34.29614920025333
episode 210: 143.5915238051861
episode 211: 32.63884440718021
episode 212: -46.05487000348384
episode 213: -51.47901629662198
episode 214: -43.797495977301594
episode 215: -53.600000000000485
episode 216: -44.02264781704305
episode 217: -47.52527106718702
episode 218: -34.63626413566819
episode 219: -58.10000000000047
episode 220: -53.60000000000047
episode 221: 97.72271565871559
episode 222: 156.83194442662418
episode 223: 91.73467189117515
episode 224: 208.56120713001096
episode 225: 402.5575840744831
episode 226: -53.60000000000047
episode 227: -48.487208911927354
episode 228: -10.411304146070663
episode 229: 14.552392907836746
episode 230: 169.21080002364948
episode 231: -48.1246251856354
episode 232: -56.300000000000495
episode 233: -36.426663173778266
episode 234: -44.60250012107451
episode 235: 290.32533243631553
episode 236: 1035.9749240230917
episode 237: 525.0266670233843
episode 238: -55.40000000000048
episode 239: -48.11945196495648
episode 240: 51.66452848230315
episode 241: -50.57630829366069
episode 242: -37.34916346373351
episode 243: -29.843610241951772
episode 244: 42.23998648651653
episode 245: -49.942258267497145
episode 246: -35.682239952971635
episode 247: 18.453688250126326
episode 248: -46.791681358699336
episode 249: -42.946281512296046
episode 250: -49.690600103839294
episode 251: -16.041520445668077
episode 252: 210.33414835349197
episode 253: -44.23470285874215
episode 254: -34.907070896693206
episode 255: -40.37276630934828
episode 256: -46.98446224709618
episode 257: 510.47997543812363
episode 258: -30.68924398074766
episode 259: -23.385561060596434
episode 260: -30.30268730278111
episode 261: 7.343447612018897
episode 262: -45.65372167337121
episode 263: -53.60000000000047
episode 264: 334.6476844747317
episode 265: -40.90329095398857
episode 266: 249.00318841421605
episode 267: -42.02839438115192
episode 268: -28.29640956734884
episode 269: 641.351985090626
episode 270: -49.34401271641531
episode 271: -33.26464414127131
episode 272: -31.413507750799795
episode 273: -54.50000000000045
episode 274: -29.287714365751196
episode 275: -40.60092430940186
episode 276: -40.349407893879096
episode 277: 1474.3920981719561
episode 278: 50.998707921440854
episode 279: -39.75202061337554
episode 280: 1539.2582624849947
episode 281: 294.03574902016595
episode 282: -48.37237572618539
episode 283: -42.43644472848605
episode 284: -48.8085229883186
episode 285: 232.80948274956233
episode 286: 426.4729639757307
episode 287: -34.33119941152344
episode 288: 29.168428789760352
episode 289: -33.85375812658203
episode 290: -51.90159100211719
episode 291: -40.93595401395179
episode 292: 1406.672864822095
episode 293: -45.33224960778082
episode 294: -41.38240627242838
episode 295: 664.351993958479
episode 296: -47.934249012141805
episode 297: -42.08663826190946
episode 298: 299.74904622347265
episode 299: -45.143276594878735
episode 300: -51.20007022204294
episode 301: 241.93875081045556
episode 302: -42.995795610878
episode 303: -32.95459183962495
episode 304: -41.26224367815622
episode 305: -14.89374572232678
episode 306: -54.50000000000047
episode 307: -22.693528541740328
episode 308: 32.85023437892867
episode 309: -36.234388139136314
episode 310: -41.45561469314343
episode 311: 89.66912182724109
episode 312: 3.5480635783361776
episode 313: -44.050219240487955
episode 314: -44.45329184402536
episode 315: 803.6737527827694
episode 316: 718.1813877999289
episode 317: -55.4000000000005
episode 318: -16.50608780331798
episode 319: 61.23917085757945
episode 320: -44.90181672293183
episode 321: -54.50000000000047
episode 322: 175.05367124358403
episode 323: 235.33468017586148
episode 324: 1473.9125618932399
episode 325: 1489.7193436439093
episode 326: -49.427648229305284
episode 327: -25.479638907119615
episode 328: 233.88790046398347
episode 329: -41.88143890427649
episode 330: -54.50000000000047
episode 331: 206.69631286866098
episode 332: -28.115537787771473
episode 333: 403.97960992789785
episode 334: -16.368218073944647
episode 335: -32.792249168776856
episode 336: 87.03920541489697
episode 337: -44.8871123176392
episode 338: 1514.8377427678038
episode 339: 135.32194633765917
episode 340: -14.725124131077653
episode 341: -37.09685483823548
episode 342: 515.661025290579
episode 343: 229.10114784010864
episode 344: 220.3649445183929
episode 345: -33.68226887376421
episode 346: -54.50000000000045
episode 347: -29.83465588631121
episode 348: -50.0509722004607
episode 349: -34.261602937120166
episode 350: 36.50173858066931
episode 351: -45.15109793243598
episode 352: -21.028612616464052
episode 353: 97.1795215216752
episode 354: 552.040335592836
episode 355: 504.70254305509206
episode 356: -41.27329820188492
episode 357: 6.648527669452836
episode 358: -36.88668807310458
episode 359: -8.304876365599767
episode 360: -46.109607815545225
episode 361: -43.4879074990082
episode 362: 91.7276872976585
episode 363: 272.98205408189585
episode 364: 501.75363158412557
episode 365: -26.21456214816385
episode 366: -45.65446387286065
episode 367: 107.06280350050925
episode 368: -46.7898139830688
episode 369: -45.75131102892059
episode 370: 9.06557163238765
episode 371: 87.74028748075705
episode 372: 300.58928552989755
episode 373: 65.04738516100012
episode 374: 71.84865770327183
episode 375: -26.0814269874872
episode 376: -37.26122748418241
episode 377: -48.78475210167059
episode 378: 479.2541045771915
episode 379: 414.66978682991197
episode 380: 654.8847909949294
episode 381: 446.52956334348073
episode 382: 1163.0214436177205
episode 383: 109.32062289985322
episode 384: 658.0604838239143
episode 385: 514.5931637227783
episode 386: 149.77408694717826
episode 387: 488.901448038224
episode 388: 676.9847319903408
episode 389: 103.80932173328475
episode 390: 230.72595943609394
episode 391: -6.153517336796794
episode 392: 810.3225846383191
episode 393: -37.76846849805012
episode 394: -15.193978289917872
episode 395: 143.5149391250229
episode 396: -37.193341589087524
episode 397: -55.40000000000048
episode 398: 30.81788803856432
episode 399: -43.15661262974786
episode 400: 646.2058643482565
episode 401: 794.5403329370508
episode 402: -28.333542984911237
episode 403: 1264.9263981392892
episode 404: 169.51747384971878
episode 405: -20.336541560795236
episode 406: 340.3925366429336
episode 407: 66.2961697509123
episode 408: 385.45695945246206
episode 409: 475.1118869919148
episode 410: -28.809845844950217
episode 411: 191.2585917781105
episode 412: 63.45014040996432
episode 413: -30.201967517070262
episode 414: -48.27777996904332
episode 415: -40.45065511343887
episode 416: -41.6161362558245
episode 417: 386.8125235059689
episode 418: -8.717139606289434
episode 419: -21.452524474996306
episode 420: -21.857932436414792
episode 421: -49.70230787058492
episode 422: -48.51709590823898
episode 423: 19.191335113078324
episode 424: -19.684777931024943
episode 425: 304.3868712022149
episode 426: 345.1259494344839
episode 427: -34.42857224826083
episode 428: 19.786207102080457
episode 429: -41.93136171423209
episode 430: -55.40000000000049
episode 431: 680.4524804128856
episode 432: 1401.501666385421
episode 433: -35.23719569268507
episode 434: -36.297056436567715
episode 435: 26.22634396519409
episode 436: -44.936070029444274
episode 437: 112.97332871365862
episode 438: 267.33095862996754
episode 439: -45.221265688626694
episode 440: -22.072681901218285
episode 441: -2.5034242997865648
episode 442: 485.5426384056773
episode 443: 93.43849093977842
episode 444: 142.68055183012848
episode 445: 379.3122714273003
episode 446: -44.0540550917015
episode 447: -50.97465266817751
episode 448: -32.81227601279102
episode 449: -30.365253179033484
episode 450: -9.982145528460928
episode 451: -29.961589555977486
episode 452: 561.2016416584308
episode 453: 230.89283286641978
episode 454: 200.71372766953735
episode 455: -28.150047964886557
episode 456: 343.2891971837587
episode 457: 231.66679314989645
episode 458: -42.84025129836479
episode 459: 85.2928384394399
episode 460: -47.07701878626804
episode 461: -50.53890323802428
episode 462: 220.34876991273217
episode 463: 29.274418658690713
episode 464: 9.398510065158016
episode 465: -46.506847825558374
episode 466: 222.3962075759656
episode 467: 187.09282248312488
episode 468: 275.4396003320099
episode 469: 42.49474046863547
episode 470: 675.4724552807468
episode 471: 1568.9631771053093
episode 472: -33.46753140969306
episode 473: 17.673767867305823
episode 474: 418.3903942939624
episode 475: 735.4238812957311
episode 476: 145.0140097928381
episode 477: 281.4326099654346
episode 478: -24.4776999475008
episode 479: -35.94810601221468
