C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee sf --graphs -m S_M_10000_episodes -d 0.99 -a 0.5 -e 0.002 --maxepisodes 10000
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 216: -55.400000000000496
episode 217: -55.40000000000048
episode 218: -57.20000000000052
episode 219: -61.700000000000514
episode 220: -55.400000000000475
episode 221: -68.90000000000026
episode 222: -58.10000000000049
episode 223: -68.00000000000034
episode 224: -70.70000000000006
episode 225: -59.000000000000455
episode 226: -59.90000000000049
episode 227: -63.500000000000554
episode 228: -54.974686954368615
episode 229: -32.12792107216919
episode 230: -68.00000000000028
episode 231: -59.90000000000053
episode 232: -59.00000000000049
episode 233: -57.20000000000048
episode 234: -60.80000000000054
episode 235: -58.100000000000534
episode 236: -74.30000000000003
episode 237: -59.000000000000504
episode 238: -64.40000000000056
episode 239: -57.20000000000054
episode 240: -56.300000000000495
episode 241: -59.00000000000046
episode 242: -60.80000000000054
episode 243: -61.700000000000486
episode 244: -60.800000000000516
episode 245: -41.8645108848217
episode 246: -57.20000000000052
episode 247: -51.337406532683474
episode 248: -65.30000000000047
episode 249: -59.00000000000051
episode 250: -63.50000000000053
episode 251: -58.10000000000052
episode 252: -59.00000000000052
episode 253: -59.9000000000005
episode 254: -60.800000000000566
episode 255: -48.607638944585176
episode 256: -64.40000000000059
episode 257: -65.3000000000004
episode 258: -60.800000000000495
episode 259: -56.300000000000495
episode 260: -59.000000000000476
episode 261: -56.96115970401306
episode 262: -61.7000000000005
episode 263: -63.50000000000053
episode 264: -66.20000000000043
episode 265: -60.80000000000054
episode 266: -73.40000000000008
episode 267: -62.600000000000534
episode 268: -63.50000000000052
episode 269: -57.59653062869696
episode 270: -59.00000000000051
episode 271: -61.700000000000585
episode 272: -62.60000000000055
episode 273: -60.8000000000005
episode 274: -56.300000000000495
episode 275: -54.50000000000047
episode 276: -60.80000000000052
episode 277: -67.10000000000039
episode 278: -59.90000000000052
episode 279: -57.20000000000045
episode 280: -65.30000000000045
episode 281: -55.400000000000475
episode 282: -67.10000000000039
episode 283: -60.8000000000005
episode 284: -69.80000000000027
episode 285: -63.500000000000554
episode 286: -59.90000000000051
episode 287: -61.7000000000005
episode 288: -54.50000000000047
episode 289: -57.20000000000048
episode 290: -77.89999999999975
episode 291: -59.900000000000496
episode 292: -56.300000000000466
episode 293: -73.39999999999998
episode 294: -72.50000000000001
episode 295: -42.8132794036864
episode 296: -64.40000000000053
episode 297: -57.20000000000047
episode 298: -48.68992048451966
episode 299: -67.10000000000036
episode 300: -60.8000000000005
episode 301: -58.100000000000506
episode 302: -57.20000000000049
episode 303: -58.10000000000048
episode 304: -60.8000000000005
episode 305: -59.00000000000052
episode 306: -62.60000000000052
episode 307: -63.50000000000053
episode 308: -55.400000000000496
episode 309: -61.7000000000005
episode 310: -59.90000000000054
episode 311: -65.30000000000041
episode 312: -61.700000000000564
episode 313: -69.80000000000015
episode 314: -67.10000000000035
episode 315: -59.00000000000054
episode 316: -59.000000000000476
episode 317: -56.300000000000495
episode 318: -58.100000000000556
episode 319: -65.30000000000044
episode 320: -43.25806634614029
episode 321: -68.00000000000026
episode 322: -64.40000000000046
episode 323: -45.661745006439574
episode 324: -49.76466003055476
episode 325: -59.000000000000476
episode 326: -57.20000000000047
episode 327: -45.35750990805022
episode 328: -68.0000000000003
episode 329: -64.40000000000049
episode 330: -61.700000000000514
episode 331: -74.3
episode 332: -79.69999999999973
episode 333: -59.90000000000052
episode 334: -63.500000000000504
episode 335: -48.131463737925536
episode 336: -68.00000000000036
episode 337: -66.2000000000004
episode 338: -58.100000000000506
episode 339: -40.98330907350406
episode 340: -51.56076631971193
episode 341: -71.60000000000012
episode 342: -61.70000000000049
episode 343: -50.333966372190595
episode 344: -65.30000000000048
episode 345: -60.800000000000516
episode 346: -57.20000000000051
episode 347: -59.000000000000526
episode 348: -61.700000000000514
episode 349: -58.100000000000506
episode 350: -75.1999999999998
episode 351: -59.000000000000504
episode 352: -65.30000000000044
episode 353: -56.30000000000048
episode 354: -70.70000000000014
episode 355: -61.70000000000047
episode 356: -30.09825229293461
episode 357: -53.6000000000005
episode 358: -61.70000000000051
episode 359: -56.30000000000048
episode 360: -60.80000000000049
episode 361: -62.60000000000052
episode 362: -61.70000000000055
episode 363: -67.10000000000034
episode 364: -55.40000000000051
episode 365: -60.80000000000046
episode 366: -60.80000000000049
episode 367: -58.51851250510422
episode 368: -57.20000000000051
episode 369: -67.10000000000032
episode 370: -60.800000000000516
episode 371: -60.800000000000566
episode 372: -63.50000000000048
episode 373: -58.10000000000047
episode 374: -62.6000000000005
episode 375: -55.40000000000046
episode 376: -59.900000000000524
episode 377: -64.40000000000053
episode 378: -69.80000000000015
episode 379: -61.700000000000514
episode 380: -60.80000000000051
episode 381: -49.509764154418775
episode 382: -57.20000000000049
episode 383: -42.11136205925248
episode 384: -54.50000000000048
episode 385: -71.60000000000005
episode 386: -73.40000000000002
episode 387: -57.20000000000048
episode 388: -59.90000000000048
episode 389: -65.30000000000041
episode 390: -59.00000000000049
episode 391: -59.90000000000055
episode 392: -65.30000000000052
episode 393: -76.1
episode 394: -76.99999999999991
episode 395: -66.20000000000041
episode 396: -58.10000000000049
episode 397: -49.53559329937597
episode 398: -75.20000000000022
episode 399: -66.20000000000046
episode 400: -57.20000000000047
episode 401: -60.800000000000566
episode 402: -60.800000000000516
episode 403: -60.80000000000049
episode 404: -65.3000000000004
episode 405: -69.80000000000008
episode 406: -55.400000000000475
episode 407: -58.10000000000051
episode 408: -69.80000000000014
episode 409: -62.60000000000055
